Nama Produk,Ulasan
[FREE MOUSE] ASUS Vivobook 14 A1404VA-VIPS7852M - Terra Cotta [Intel Core i7-1355U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],"Untuk laptopnya bagus banget tanpa ada lecet sedikit pun, hanya sedikit kecewa karena tidaa di kirim instan di hari pembelian but overall baik"
[FREE MOUSE] ASUS Vivobook 14 A1404ZA-IPS321 - Quiet Blue [Intel Core i3-1215U / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS],"Pengiriman barang cepat, laptop berfungsi dengan baik"
Tidak ditemukan,bagus
Tidak ditemukan,"Barang diterima dengan kondisi yang baik, pengepakan aman. Respon penjual cepat."
ASUS Ergonomic Wireless Optical Mouse WT300,Sangat responsif
Tidak ditemukan,Tidak ditemukan
Tidak ditemukan,"barang bagus, semoga awet."
Tidak ditemukan,"Pertama2 yg perlu diapresiasi itu respon chatnya cepat akurat dan tepat, nanya cara operasi awal dari aktif windows update smpai office dan 365 lancar jaya. packaging sup..."
Tidak ditemukan,"isi lengkap, free microsoft 2021, packing dan kondisi laptopnya rapih aman no cacat insyaa allah dan cepat 1 hari sampai rumah dan free mouse (klo masih tersedia) semoga..."
[FREE MOUSE] ASUS Vivobook Go 14 E410KA-FHD4822M - Rose Pink [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],"Barang original ,kemasan aman ,
Pengiriman cepat ,seller fast respon 🥰"
[FREE MOUSE] ASUS Vivobook Go 14 E1404FA-VIPS5151M - Mixed Black [AMD Ryzen 5 7520U / AMD Radeon Graphics / 16GB / 512GB / 14inch / WIn11 / OHS24 / M365],bagussss !
Tidak ditemukan,Alhamdulillah puas
Tidak ditemukan,semuanya bagus pengiriman cepatmantap
Tidak ditemukan,"vvvvvvv
hhhbbb"
Tidak ditemukan,terimakasih 🙏 sudah saya terima dengan baik
[FREE MOUSE] ASUS Vivobook 14 A1404VA-FHD3851M - Quiet Blue [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],"Barang sudah sampai dalam kondisi baik. Tapi blum di aktifkan, smoga saja semuanya baik sesuai ekspektasi dan awet tentunya."
Tidak ditemukan,mantep pelayanan nya dan produk nya rapih packing nya.
Tidak ditemukan,"puas...
barang ori...
tanpa cacat...."
Tidak ditemukan,Packing rapi. Barang tidak ada masalah.
Tidak ditemukan,"Barang sesuai dgn Deskripsi dan pesanan, packing aman tanp ada cacat lecet"
Tidak ditemukan,Laptop yang sudah dinanti nanti si bocil.
Tidak ditemukan,Kayu pelindungnya keras sekali. Sampe susah membukanya
Tidak ditemukan,👍👍👍👍👍
Tidak ditemukan,"Barang sudah sampai, sesuai pesanan, barang original, admin informatif, msh rezeki dpt free mouse dr Fantech, Terima kasih Asus."
Tidak ditemukan,"Awalnya agak ragu mau beli unit secara online, tapi meyakinkan lagi dan ditambah pelayanan yang oke banget responnya. 
Akhirnya jadi daaah beli di toko ini dengan via kur..."
Tidak ditemukan,mantap
Tidak ditemukan,"Barang original, berfungsi dengan baik, material kelihatan premium sensor halus silent"
Tidak ditemukan,"seller bagus, barang ok, semoga awet"
[FREE MOUSE] ASUS Vivobook 14 A1404VAP-VIPS5152M - Terra Cotta [Intel Core 5 Processor 120U / Intel Graphics / 16GB / 512GB / 14inch / WIN11 / OHS24 / M365],everything's ok
ASUS Vivobook Go 12 E210KA-HD4413M - Star Black [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 128GB / 11.6inch / WIN11 / OHS24 / M365],"Bagus mini bisa dibawa2 
Namun cepat panas
Dan agak lalot2 dikit 
Microsoft Office instal sendiri
Tapi Microsoft sorenya diinstal gratis"
Tidak ditemukan,okay 👌 barang sesuai.. pengiriman aman cepat juga.. recommended 👌👍
Tidak ditemukan,"pelayanan ok, barang sesuai, admin fast response dan sangat membantu.. top deh."
Tidak ditemukan,"terimakasih atas pelayanan baiknya
barang diterima dengan baik dan berfungsi dg baik"
Tidak ditemukan,"Barang sesuai pesanan , pengiriman cepat, respon admin cepat dan sangat membantu, terima kasih"
Tidak ditemukan,"Packaging rapi, sampai dengan aman, dapat freebies sesuai perjanjian"
Tidak ditemukan,Pesanan sesuai. Aman walopun jauh. Engga sia sia nunggu promo
Tidak ditemukan,good
Tidak ditemukan,"barang sampai dengan selamat, dengan gojek sampai tujuan dgn cepat, Alhamdulillah"
Tidak ditemukan,sangat puas. Terima kasih.. bintang 5
Tidak ditemukan,"mantapp nggak ada kurang satupun and puas banget, thanks seller"
Tidak ditemukan,oke
Tidak ditemukan,barang cepat sampai..packing aman..sdh dicoba..berjalan normal..sangat memuaskan terimakasih
Tidak ditemukan,"Mantappp, barang ori bagusss 👍"
Tidak ditemukan,"sesuai deskripsi, ramah dan fast respon"
Tidak ditemukan,"Pengiriman Cepat, Laptop sangat Original. trims kak. sukses selalu"
[FREE MOUSE] ASUS Vivobook 14 A1404VA-FHD3821M - Quiet Blue [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],Bagus
[FREE MOUSE] ASUS Vivobook Go 14 E410KA-FHD455M - Peacock Blue [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],"Sudah sesuai, barang aman tidak rusak dna dapat free mouse."
Tidak ditemukan,"Terima kasih, barang sudah saya terima sesuai deskripsi."
Tidak ditemukan,"Alhamdulillah...paketnya sudah mendarat, packing aman, mdh²an awet & tidak ada masalah. Tks."
Tidak ditemukan,Tidak ditemukan
Tidak ditemukan,"pelayanan bagus, barang diterima tanpa cacat dan berfungsi normal"
Tidak ditemukan,"good product, good service 👍"
Tidak ditemukan,"barang original berkualitas, seller terpercaya.  terima kasih kak seller. terima kasih tokopedia"
Tidak ditemukan,Trusted dan pengiriman aman
Tidak ditemukan,Mantab.. 👍👍
ASUS Vivobook Go 12 E210KA-HD4411M - Peacock Blue [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 128GB / 11.6inch / WIN11 / OHS24 / M365],😍
[FREE MOUSE] ASUS Vivobook Go 14 E1404FA-FHD352M - Cool Silver [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],Barang bagus
Tidak ditemukan,"datang sesuai harapan, seller ramah, mantab bonusnya, terimakasih"
Tidak ditemukan,"sesuai deskripsi,  pengiriman cepat, parking aman"
Tidak ditemukan,"barang sesuai spesifikasi, kondisi bagus, pengiriman cepat"
Tidak ditemukan,"Packing kayunya mantap, tebal dan aman. Sesuai dengan harganya"
Tidak ditemukan,Barang sangat bagus dan sesuai deskripsi
Tidak ditemukan,"fast respon dan sesuai deskripsi, awalnya panik layar ga bisa hidup ketika awal dihidupkan, ternyata karena baterai sama sekali kosong, semoga awet"
Tidak ditemukan,Tidak ditemukan
Tidak ditemukan,Keren
Tidak ditemukan,"Overall cakepp, tampilan okee, pemakaian terasa enak dan nyaman. 
Dapat bonus backpack, mouse dan headphone, agak kaget di cek masing2 harganya itu gak murah tapi dijadii..."
Tidak ditemukan,"pengiriman cepat dan aman, bonus di include, laptop berfungsi dengan baik.

recommended untuk yang mencari laptop untuk on the go dan mid to mid-high workload"
Tidak ditemukan,"mantap jiwa dan pelayanan memuaskan dari asus resmi. laptop spek standar, good built quality dan bonus mouse wireless dan tas keren."
Tidak ditemukan,barang tiba dengan aman dengan pengepakan tiga lapis.
Tidak ditemukan,oke bagus
Tidak ditemukan,"Pengiriman cepat. Laptop sesuai pesanan dan warna sesuai. Pelayanan mantap dan ramah.
Kpn2 pengen beli lg laptop di sini kalo ada dana."
Tidak ditemukan,"Barang yg dikirim bermasalah tidak bisa nyala
Dijanjikan digantikan barang karna tidak bisa return
Tapi dari tanggal 19 dikirim, tanggal 23 barang di held, smpe tanggal 2..."
Tidak ditemukan,Barang sudah diterima dan kondisi baik tidak ada lecet dan mulus lus lus hanya perlu update windows 11 23H2 yg perlu dibawa ke service center
Tidak ditemukan,"Terimakasih, salam kepuasan dari pelanggan"
Tidak ditemukan,"Alhamdullilah barang sesuai pesanan (mulus) dan berfungsi dengan baik, hanya saja saat aktivasi microsoft office lumayan sulit...

overALL insaa ALLAH, puas..."
[FREE MOUSE] ASUS Vivobook Go 14 E1404GA-FHD321M - Mixed Black [Intel Core i3-N305 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS / M365],Ok
Tidak ditemukan,bagus.. compatible sama ipad pro
Tidak ditemukan,ringan bagus. makasih sdh memberikan pengalaman belanja yg memuaskan untuk pembelian pertama saya. lain kali tambahin bonusnya dong
Tidak ditemukan,"Barang bagus..Belum dipakai, jadi belum lihat performance nya.."
[FREE MOUSE] ASUS Vivobook Go 14 E1404FA-FHD323M - Cool Silver [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB /256GB / 14inch / WIN11 / OHS / M365],Produk lengkap dan aman sampwi ke tujuan
Tidak ditemukan,Tidak ditemukan
Tidak ditemukan,Respon cepat dan barang sesuai.
Tidak ditemukan,Sangat puas dan responsif..
Tidak ditemukan,Barang sesuai deskripsi. Recomended seller. Terimakasih.
Tidak ditemukan,admin nya super cepet.. bedebest pko'e
Tidak ditemukan,barang sudah sampai di tujuan dengan selamat
Tidak ditemukan,barang sudah sampai di tujuan dengan selamat
Tidak ditemukan,"barang aman, packingan bagus, hadiah tas dan mousenya keren"
Tidak ditemukan,"desain mewah,delivery lancar...dapet bonus tws..sempat ada kendala saat aktivasi tp dibantu CS nya....trimakasih🙏😊"
Tidak ditemukan,"seller gercep, komunikatif"
Tidak ditemukan,"Bagus banget laptopnya, terpecaya"
Tidak ditemukan,modelnya sangat bagus dan bonus nya original
Tidak ditemukan,yang lebih penting selain produk sesuai deskripsi adalah pelayanannya responsif... mantap
Tidak ditemukan,"barang ok, ada powerbanknya pula. syang kemarin pengiriman rada telat. tp ok sih. 
asus zeenbook ini ok bnget. ringan.. tipis. baterai poweer full. warnanya juga elegan...."
[FREE POWERBANK] ASUS Zenbook 14 UM3406KA-OLEDS7311M - Jade Black [AMD RYZEN AI 7 350 / AMD Radeon Graphics / 32GB / 1TB / 14inch / WIN11 / OHS24 / M365],Belum cek
Tidak ditemukan,Kualitas oke
ASUS Vivobook Go 12 E210KA-HD4414M - Dreamy White [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 128GB / 11.6inch / WIN11 / OHS24 / M365],Keren
Tidak ditemukan,"Produk Original Official Store sesuai Keterangan dan Informasi Iklan, Seller Responsif dan Informatif, Packing Kuat dan Sangat Aman, Kurir dan Pengiriman Cepat dan Aman."
Tidak ditemukan,"Barang sesuai deskrispi, pengirimana cepat dan aman, walaupun tidak menggunakan packing kayu."
Tidak ditemukan,barang sampe mendarat dengan selamat...pengiriman cepat...ada bonus mouse sekaligus tasnya
Tidak ditemukan,"pesanan sampai, paking rapi kuat, barang sesuai deskrilsi, belum dinyalakan, semoga tidak ada masalah aplikasinya, terima kasih banyak"
[FREE MOUSE] ASUS TUF Gaming A15 FA506NCR-R735B6T-HM - Graphite Black [AMD Ryzen 7 7435HS / NVIDIA GeForce RTX 3050 / 16GB / 512GB / 15.6inch / WIN11 / OHS24 / M365],sellernya baik poll joss
Tidak ditemukan,"nice Quick Respon pesan pagi siang dah sampai, sukses selalu yaa, maap lupa foto dah keburu dibawa anak keluar kota buat kuliah"
Tidak ditemukan,baik
Tidak ditemukan,"barang datang cukup cepat dan di packing dengan baik. kondisi bagus, dan tanpa masalah sampai saat ini. semoga bisa digunakan cukup lama. 👍"
Tidak ditemukan,Mantap dan cepat sekali di proses dan sampainya
Tidak ditemukan,Paket aman dan rapi pelayanan ok sesuai iklan
Tidak ditemukan,keren
[FREE MOUSE] ASUS Vivobook 14 A1404VA-VIPS5152M - Terra Cotta [Intel Core i5-1334U / Intel Iris Xᵉ Graphics / 8GB+8GB / 512GB / 14inch / WIN11 / OHS24 / M365],"Alhamdulillah laptopnya di terima dengan aman dan damai sesuai iklan,  suka banget dengan warnanya .  Mantap tokonya sangat responsif"
Tidak ditemukan,bagus mantap
Tidak ditemukan,"Barang sesuai pesanan, tanpa lecet semoga kedepan tidak ada kendala untuk laptopnya. Cuman kurangnya di kurir aja, barangnya tidak di antar di alamat tapi saya ambil lang..."
Tidak ditemukan,Sesuai dengan diskripsi yang ada
Tidak ditemukan,"packing rapi, sudah di bubble wrap juga"
Tidak ditemukan,"ga ngesel beli laptop di sini. pokoknya recommended banget, penjual ramah, barang mendarat dengan mulus tanpa minus, spek sesuai, performa mantap"
Tidak ditemukan,Prof banget pelayanannya mantap
Tidak ditemukan,mimin fast respons dan kooperatif
Tidak ditemukan,udh sampai . walaupun lama nunggu nya
[FREE MOUSE] ASUS Vivobook Go 14 E1404FA-FHD352M - Cool Silver [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],"Barang nya baguss
Original
Pasti berlangganan di toko official ini"
Tidak ditemukan,fast respond seller... best product thank you
Tidak ditemukan,cepat sampai dan langsung dipakai untuk kerja ya dan ringan bobotnya cocok untuk kesana kemari tanpa harus berat
Tidak ditemukan,"Alhamdulillah ,sampai sempurna responsive seller, membantu sampai aman semua, baru ok. originbdak lengkap ohs 24 sama win 11 original banyak bonus"
Tidak ditemukan,"kualitas barang top, response cepat. sayangnya stock terbatas.."
PACKING KAYU (HANYA UNTUK PENGIRIMAN VIA EKSPEDISI),alhamdulilah aman banget pake packing kayu gini
[FREE MOUSE] ASUS Vivobook Go 14 E410KA-FHD455M - Peacock Blue [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],alhamdulilah aman semua nyaa
Tidak ditemukan,"mantapppp, kata yang sudah cukup.."
Tidak ditemukan,"Mantaap
Semua lengkap seperti yg di iklan kan
Rekomend di toko official"
Tidak ditemukan,"Packing super rapih, aman banget sampai tujuan. barang mulus semua fitur lengkap sesuai deskripsi. Admin super ramah. pokoknya paket lengkap.. 
makasih banyak"
Tidak ditemukan,"produk baik
harga ok
bonus mouse
pengiriman cepat dan baik"
Tidak ditemukan,so far oke. unboxing video oke. lagi instalasi windows dan lain2. semoga lancar
Tidak ditemukan,"Proses cepat, packaging aman, produk dan bonus sesuai deskripsi"
Tidak ditemukan,"admin responding, barang sesuai,"
[FREE MOUSE] ASUS Vivobook 14 A1404VA-VIPS5152M - Terra Cotta [Intel Core i5-1334U / Intel Iris Xᵉ Graphics / 8GB+8GB / 512GB / 14inch / WIN11 / OHS24 / M365],BAGUSS BGTT WARNA NYA LUCUU WARNA TERACOTA!! FREE TAS DAN MOUSE JUGA!! PELAYANAN NYA RAMAH🙌🏻 DI KASIH TAU JUGA TUTORIAL PAS DAFTAR WINDOWS NYA GIMANA SAMA APA AJA YG PE...
Tidak ditemukan,"barang sudah sampai dg aman, awalnya infonya pengiriman instan bakal mulai jam 1 siang tapi ternyata jam 11 siang sudah dikirim dan jam 12 sampe 🫶 admin ramah dan helpfu..."
Tidak ditemukan,mantul semoga awet
[FREE MOUSE] ASUS Vivobook 14 A1404VA-VIPS352M - Cool Silver [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],Performa sistem: Bagus
PACKING KAYU (HANYA UNTUK PENGIRIMAN VIA EKSPEDISI),Bahan: Bagus
Tidak ditemukan,"seller responsive, produk bagus"
Tidak ditemukan,"Puas dan bagus, dan customer servicenya melayani dengan baik, terima kasih"
Tidak ditemukan,Kecewa. Spesifikasi display laptop beda dgn yg tertera di halaman Tokopedia. Sudah konfirmasi sebelum beli dan toko bilang spek benar. Ketika order juga tulis catatan unt...
Tidak ditemukan,"barang bagus, respon admin cepat dan packing rapih dan aman"
Tidak ditemukan,sip sesuai deskripsi. gratis mouse wireless.
Tidak ditemukan,"barangnya over all oke, point plusnya adalah sellernya ramah sekali, sangat membantu dari awal update windows dan claim ohs24nyaa.. sangat recommended untuk beli disini👍..."
Tidak ditemukan,"paket sudah sampai, working good semoga awet....maksih seller"
Tidak ditemukan,barang sesuai spesifikasi dan kondisi baik
Tidak ditemukan,"Alhamdullilah paket mendrt dgn selamat, dgn pengiriman Gosend, laptop masih segel tnp cacat sedikitpun, seller gercep, maap baru kasih ulasan 🙏"
[FREE TWS] ASUS TUF Gaming A15 FA507NUR-R745K6G-OM - Jaeger Gray [AMD Ryzen 7 7435HS / NVIDIA GeForce RTX 4050 / 16GB / 512GB / 15.6inch / WIN11 / OHS],Amanah
Tidak ditemukan,"packingannya berlapis lapis, box tidak ada dent sama sekali. Admis sangat membantu dan responsif.Barang sesuai dengan deskripsi dan kodisi perfect tidak ada minus."
Tidak ditemukan,"pengiriman cepet
respon penjual juga baik
barang sesuai pesanan 👍👍"
Tidak ditemukan,Sampai dengan selamat. Sesuai pesanan. Berfungsi dengan baik. Terima kasih
Tidak ditemukan,"performa sangat baik, benefitnya sangat banyak, bobotnya ringan"
Tidak ditemukan,"bagus, udah beli 2 kali disini, gakengecewakan"
Tidak ditemukan,Free TWS no gimmick
Tidak ditemukan,"sesuai pesanan..
sukses selalu asus"
Tidak ditemukan,"mulus. sampai tepat waktu. bingung aktivasi Microsoft nya, tp setelah mencoba akhirnya berhasil wkwk
mesin nya ternyata lumayan cepat panas sih kalo buka banyak tab, itu..."
Tidak ditemukan,Very recommended 👍
Tidak ditemukan,Finally beli laptoo juga setelah sekian lama maju mundur. Dapet harga diskon mantaaapp...
Tidak ditemukan,"pengirimannya cepat, respon toko juga bagus dan ramah, barang diterima dalam kondisi baik, setelah di cek semua berfungsi, terima kasih"
Tidak ditemukan,sebelumnya sudah tanya jelas mengenai warna laptop yg saya mau kemudian sudah ksh notes sesuai arahan namun tetap dikirim yg tidak sesuai..  at the end pakai laptop yg ti...
Tidak ditemukan,bagus. masih segel. packing aman. wrap tebal. original
[FREE MOUSE] ASUS Vivobook 14 A1404VA-VIPS3852M - Terra Cotta [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],Ok
Tidak ditemukan,Cepat dan Lengkap... Unit Asli Bergaransi dan Memuaskan
Tidak ditemukan,"barang baru, segel, packing aman, sesuai spesifikasi, desain bagus, sangat cocok buat anak kuliah"
Tidak ditemukan,bagus
Tidak ditemukan,"Warnanya, performanya, sellernya THE BEST semuaaaaaaa"
ASUS Vivobook Go 14 E1404GA-FHD351M - Mixed Black [Intel Core i3-N305 / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],Bagus laptop nya. Ponakan saya suka buat kuliah. Thanks Asus udah di pandu sampai selesai buat yang lain jangan ragu beli Asus karena pelayanan nomer wahid👍🏻 mantap Asu...
PACKING KAYU (HANYA UNTUK PENGIRIMAN VIA EKSPEDISI),Packing kayu rapih
Tidak ditemukan,Diatas ekspektasi. ternyata kualitas laptopnya sangat memuaskan luar dalam
Tidak ditemukan,Keren abiss ... check out sore datang sore. seller gercep.. barang baru tanpa kendala ... semoga berkah dan awet 😇🙏
Tidak ditemukan,pengiriman cepat recommended seller respon cepat original penjual ramah recommended seller
[FREE MOUSE] ASUS Vivobook Go 14 E410KA-FHD429 - Star Black [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS],bagus sih cuma beda dari yang di gambar
ADD ON - SCREEN PROTECTOR for 14 and 15.6 inch Laptop,Kualitas pengerjaan: Ok
Tidak ditemukan,Recommended seller. Respon cepat. Dipandu aktivasi windows dan office sampai bisa. Alhamdulillah
Tidak ditemukan,barang seberulnya ok tetapi ada sedikit pertanyaan dan respon nya sangat lama
Tidak ditemukan,"Produk datang dalam kondisi prima, kualitas sesuai spec, memuaskan😍"
Tidak ditemukan,👍👍
[FREE MOUSE] ASUS Vivobook Go 14 E1404FA-FHD352 - Cool Silver [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS],Nice
Tidak ditemukan,sesuai ekspektasi ... Mantab 👍🏻
Tidak ditemukan,"dari dulu suka produknya asus, warnanya keren, imut ukuran compact, tipis & ringan, dibawa kemana2 gak berat, suka banget bisa dipakai buat komputer & tab 🩷"
Tidak ditemukan,Perfect.
Tidak ditemukan,mantap dan bagus mousenya
Tidak ditemukan,"respon sangat bagus dan pengiriman juga tepat waktu, laptop berfungsi dgn baik."
Tidak ditemukan,"pengiriman cepat. barang sampai baik. lengkap, sdudah dicoba, running well. semoga awet."
Tidak ditemukan,barang sesuai pesanan
Tidak ditemukan,barang sesuai pesanan
[FREE MOUSE] ASUS Vivobook 14 A1404ZA-VIPS5853M - Cool Silver [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],Barang sesuai pesanan terimakasih
[ADD ON RAM 8GB] [FREE MOUSE] ASUS Vivobook 14 A1404VA-VIPS3852M - Terra Cotta [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],Good Quality
Tidak ditemukan,aktual produk buatan 2023
Tidak ditemukan,"barang aman dan mulus,pelayanan ramah.makasih Asus😄we trust Asus for gaming🤙🏻🔥🤙🏻"
Tidak ditemukan,Produk sudah sy terima dan berfungsi baik
Tidak ditemukan,barang ori.. mantap
[FREE MOUSE] ASUS Vivobook Go 14 E1404FA-FHD352M - Cool Silver [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],Respondnya joss super jet
Tidak ditemukan,mouse yang tergolong besar namun berfungsi baik
Tidak ditemukan,"Mantap.
Top markotop.
Jossss...
👍👍👍👍👍👍👍"
Tidak ditemukan,Tidak ditemukan
Tidak ditemukan,"sesuai spesifikasi, alhamdulillah barang aman sampai ketangan"
Tidak ditemukan,"Sesuai pesanan, packingan aman. Sukses selalu dealer🙏"
Tidak ditemukan,"Sesuai pesanan, packingan aman. Sukses selalu dealer🙏"
Tidak ditemukan,Produk sudah sy terima dan berfungsi dengan baik.
Tidak ditemukan,ok sangat memuaskan dan bonus sesuai dengan deskripsi dan aktivasi office juga sangat mudah
Tidak ditemukan,ok paten sekali
Tidak ditemukan,"Barang telah diterima dengan baik, kondisi barang sesuai dengan spesifikasi, semoga awet dan tahan lama"
Tidak ditemukan,seller ramah dan informatif sekali. Barang juga orisinil. Pengiriman aman dengan tambahan packing kayu karena posisi saya di luar kota. Terima kasih seller
Tidak ditemukan,Tidak ditemukan
Tidak ditemukan,Mantabs joss gan..👍
Tidak ditemukan,"semua mantap, cuma ekspedisinya lambat.."
Tidak ditemukan,Tidak ditemukan
Tidak ditemukan,"dari CS nya oke responsip, kualitas barang bagus original, pengiriman cepat sehari sampai. semoga awat dan bermanfaat."
Tidak ditemukan,"Barang datang sesuai pesanan, barang berkwalitas, pakaging aman
Terimakasih"
Tidak ditemukan,okeeeer
Tidak ditemukan,"Respon cepat, admin informatif, packing aman dobel dus dan bubble wrap, vivobook nya cakep lancar jaya touchscreen sampai flip2 nya salto juga aman, recommended seller"
Tidak ditemukan,"Packing aman sentosa, barang bagus no minus. Terimakasih 👌🏼"
Tidak ditemukan,"packing barang aman, berfungsii dengan baik.  seller responsif. trmakasiih"
Tidak ditemukan,"cepet kirimnyaaa, trusted dan original"
Tidak ditemukan,"Seller Ramah, Fast Respon, detail informasi disampaikan dengan baik dari Tutorial Unboxing sampai Installasi M365...keren klean ....

packaging pengiriman juga safety ban..."
Tidak ditemukan,"cukup baik produknya,, senyap kliknya, hanya kualitas produk nya, seperti penutup baterai nya tipis"
Tidak ditemukan,"Pelayanan bagus profesional. 
barangnya tiba tepat waktu.
barangnya bagus
harga competitive"
Tidak ditemukan,cepat sampai meskipun belanja sambil rebahan dan tinggal tunggu barang datang yg penting duitnya ada. Tinggal bonusnya yg masih sedang mau dipasang.
Tidak ditemukan,"walaupun awalnya ragu buat beli online, karena takut gimana gimana pas pengiriman. ternyata Alhamdulillah aman karna ada asuransi pengirimannya. semoga laptop nya awett...."
Tidak ditemukan,"barang sesuai pesanan, ori segel resmi, bonus mouse wireless, respon cpt pengiriman cpt..thq"
Tidak ditemukan,barang original seller responsif recommended
Tidak ditemukan,"Barang original, dan bergaransi resmi, packing bagus dan semua masih tersegel"
Tidak ditemukan,"admin sangat fast respon dan membantu, proses cepat dan packaging sangat aman"
Tidak ditemukan,"penjual ramah, pengiriman cepat, packaging sangat rapi"
Tidak ditemukan,Gak dapat bonus earbud seperti yg dijanjikan
Tidak ditemukan,"barang sesuai deskripsi, pengiriman cepat, respon cepat langsung dijawab, packing rapih. tks..."
Tidak ditemukan,"barang sampai dengan aman, ada tas, dicobq nyala sempurna berikut seting , kipas agak berisik, semoga awet juga hemat batre."
Tidak ditemukan,"packing rapi👍super aman.. 
sangat mantap."
Tidak ditemukan,"over all semua aman, 
packing rapih.. 
tiba tepat waktu.. 
pokoknya mantapp"
Tidak ditemukan,sangat aman dan banyak gift nya dapet tas jinjing sama mouse nya 🫶🫶
Tidak ditemukan,barang sesuai pesanan pengiriman cepat
Tidak ditemukan,Alhamdulillah barang sudah diterima kualitas okey dan pengiriman pun cepat 👍
Tidak ditemukan,"Packing rapi tapi ada yg agak rusak , laptop aman sampai dibali, semoga awet dan berfungsi untuk kluarga kami terima kasih"
Tidak ditemukan,mantap
Tidak ditemukan,"barang sudah diterima, box dstang masih kondisi segel dan didouble proteksi dan buble warp, fisik tidak ada lecet atau cacat produk, tes fu gsi laptop juga normal tidak a..."
Tidak ditemukan,Barang diterima dalam kondisi baik dan berfungsi. Packaging rapi dan aman.
Tidak ditemukan,"produk ori, pengiriman cepat. thanks you."
Tidak ditemukan,"mantap, berfungsi dengan baik, mantap"
Tidak ditemukan,Tidak ditemukan
Tidak ditemukan,"seller responsive, packaging aman, accessories tas dan charger komplit, kondisi laptop juga bagus cuma baterai agak drop, mungkin karena model lama tapi gk masalah karena..."
Tidak ditemukan,"Alhamdulillah laptop bagus dan sesuai spec nya. Cocok untuk pelajar. Tidak ada masalah dan update windows berhasil, Office Home & Student 2021 nya juga berhasil diakt..."
Tidak ditemukan,Barang sampai dengan aman dan komplit dpt bonus jbl
Tidak ditemukan,"mantapp terbaikk, respon admin sangat cepat"
Tidak ditemukan,"Brng aman, paking rapi, aksesoris komplit, OS berketja bagus. semoga awet."
Tidak ditemukan,"barang bagus
mulus. 
Terima kasih. semoga awet.. amiin"
Tidak ditemukan,"respon cepat,barang bagus,sesuai deskripsi,maju terus asus official ..."
Tidak ditemukan,"bagus, keren, tahan lama"
Tidak ditemukan,"Barang sampai dengan aman, mantap"
Tidak ditemukan,Mantap kayu aman dan kuat
Tidak ditemukan,spesifikasi barang sesuai dengan yg di deskrip 👌👌
Tidak ditemukan,refund dana uangnya belum di kirim ke saldo dana Tokopedia saya padahal dari pihak asuransi nya maks tgl 14 April di refund dana nya ini sudah tgl 15 April kenapa belum d...
Tidak ditemukan,Niceeee
Tidak ditemukan,Barang nya bagus
Tidak ditemukan,OK banget
Tidak ditemukan,Admin respond cepat dan sangat membantu. Produk sampai aman dan befungsi baik. Puas.
Tidak ditemukan,kondisi baik dan cepat
Tidak ditemukan,"barang bagus, pengiriman cepat, dipakainya enak"
Tidak ditemukan,Mantaps! 🔥🔥🔥
Tidak ditemukan,"performa optimal.. ringkas dan ringan di bawa, packing aman, penjual responsif, 
terimakasih bonus nya"
Tidak ditemukan,"bagus, dan bisa langsung digunakan.. packing aman dan nyaman. thanks seller"
Tidak ditemukan,"bagus, pelayanannya memuaskan ,jelas, dan terpercaya. rekommended. pengiriman tepat waktu."
Tidak ditemukan,Produk bagus . Recomended
Tidak ditemukan,Bagus
Tidak ditemukan,Bagus
Tidak ditemukan,Produk bagus . Recommended
